username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
lakshmanclassy;2015-12-02 03:50;5;0;"Hope All Colleges Will Open And Rescue People in Chennai That will be big Place to Rescue My Opinion #ChennaiFloods #ChennaiRainsHelp";;;#ChennaiFloods #ChennaiRainsHelp;"671816144173400064";https://twitter.com/lakshmanclassy/status/671816144173400064
Sushmitha_m;2015-12-02 03:50;2;1;"@superscorpion fuck national media outlets. Chennai has got its own back covered #chennairains #ChennaiFloods";;@superscorpion;#chennairains #ChennaiFloods;"671816043640299520";https://twitter.com/Sushmitha_m/status/671816043640299520
JantaKaReporter;2015-12-02 03:49;13;5;"#ChennaiFloods Any one offering help or seeking help. Please fill in this form to help you better: http:// bit.ly/crr-help-form via CRR";;;#ChennaiFloods;"671815940451885056";https://twitter.com/JantaKaReporter/status/671815940451885056
ThalaAjith_FC;2015-12-02 03:49;35;5;"Important Helpline numbers. Pls RT and share!! #ChennaiRescue #ChennaiFloods #ChennaiRainsHelp #chennairains pic.twitter.com/98NFyv6qsR";;;#ChennaiRescue #ChennaiFloods #ChennaiRainsHelp #chennairains;"671815890078408704";https://twitter.com/ThalaAjith_FC/status/671815890078408704
amritalakshmi1;2015-12-02 03:49;0;0;"Transport help needed! #chennairains #ChennaiFloods https:// twitter.com/varshininaraya n/status/671814956229070848 ";;;#chennairains #ChennaiFloods;"671815874429472768";https://twitter.com/amritalakshmi1/status/671815874429472768
karthika_gm;2015-12-02 03:48;3;3;"NTL boat Helpline 7708068600 Ola boat 7708068600 #ChennaiFloods #ChennaiDrowning #chennairains #chennairainsHelp";;;#ChennaiFloods #ChennaiDrowning #chennairains #chennairainsHelp;"671815766656851968";https://twitter.com/karthika_gm/status/671815766656851968
lakshgiri;2015-12-02 03:48;0;0;"Anyone know of volunteer efforts to help #chennairains #ChennaiFloods";;;#chennairains #ChennaiFloods;"671815600302399490";https://twitter.com/lakshgiri/status/671815600302399490
TMManiac;2015-12-02 03:47;0;0;"#chennairains #chennairainshelp #ICanAccommodate #ChennaiFloods https:// twitter.com/devarajan_p/st atus/671814613239906304 ";;;#chennairains #chennairainshelp #ICanAccommodate #ChennaiFloods;"671815440423776256";https://twitter.com/TMManiac/status/671815440423776256
Vayithavali;2015-12-02 03:46;0;0;"Needvolunteer to support flood relief efforts in #ChennaiFloods #ChennaiRainsHelp http:// volunteers.org/chennai-floods/";;;#ChennaiFloods #ChennaiRainsHelp;"671815249041874944";https://twitter.com/Vayithavali/status/671815249041874944
manumechster;2015-12-02 03:46;75;13;"Friends iam interested to spend upto 10000 INR for dis flood relief Any help plzz contact me.. #chennairains #ChennaiFloods";;;#chennairains #ChennaiFloods;"671815189835173888";https://twitter.com/manumechster/status/671815189835173888
sarvinerdo;2015-12-02 03:44;0;1;"Chennai Submerged, We need help ! Where is rest of India ? #TamilNaduRains #ChennaiFloods kindly RT @msdhoni @ImRo45 @ImRaina @ashwinravi99";;@msdhoni @ImRo45 @ImRaina @ashwinravi99;#TamilNaduRains #ChennaiFloods;"671814546055499776";https://twitter.com/sarvinerdo/status/671814546055499776
ImPradeepKumar;2015-12-02 03:41;1;0;"Request all to tag ur tweets #ChennaiRainsHelp #ChennaiRescue #ChennaiFloods #chennairains to offer help or shelter. Please RT and share";;;#ChennaiRainsHelp #ChennaiRescue #ChennaiFloods #chennairains;"671813805068783616";https://twitter.com/ImPradeepKumar/status/671813805068783616
twitmyreview;2015-12-02 03:40;0;0;"FB Page for Latest update on Chennai and Flood situation Via @twitter https://www. facebook.com/Chennai-Update s-1655159118066835/ #chennai #Chennai #chennairains #ChennaiFloods";;@twitter;#chennai #Chennai #chennairains #ChennaiFloods;"671813606346919938";https://twitter.com/twitmyreview/status/671813606346919938
nddinar;2015-12-02 03:40;1;1;"#chennairains #ChennaiFloods sad v r now in terrible situation Let's be united and cross the hurdle We need to join together for our chennai";;;#chennairains #ChennaiFloods;"671813548906016768";https://twitter.com/nddinar/status/671813548906016768
raghuramanmasi;2015-12-02 03:39;0;0;"How you guys are managing mobile charge without electricity? #ChennaiFloods #chennairains";;;#ChennaiFloods #chennairains;"671813506589683714";https://twitter.com/raghuramanmasi/status/671813506589683714
TMManiac;2015-12-02 03:39;0;0;"#chennairains #chennairainshelp #ICanAccommodate #ChennaiFloods https:// twitter.com/pmcchennai/sta tus/671813166016368640 ";;;#chennairains #chennairainshelp #ICanAccommodate #ChennaiFloods;"671813354210521088";https://twitter.com/TMManiac/status/671813354210521088
ghantagiri;2015-12-02 03:39;0;0;"Sir Ravindra Jadeja: #ICanAccommodate #chennairains #ChennaiFloods https:// twitter.com/karthika_gm/st atus/671803104703160320 | http:// ghantagiri.com";;;#ICanAccommodate #chennairains #ChennaiFloods;"671813354198028288";https://twitter.com/ghantagiri/status/671813354198028288
ghantagiri;2015-12-02 03:39;0;0;"Sir Ravindra Jadeja: In Chennai? Can Accomodate Few People? Tweet Using #ICanAccommodate And Save Some Lives. #chennairains #ChennaiFloods ";;;#ICanAccommodate #chennairains #ChennaiFloods;"671813352977514497";https://twitter.com/ghantagiri/status/671813352977514497
